frame.number	frame.time_epoch	ip.src	ip.dst	sctp.srcport	sctp.dstport
1	1790058511.637875000	127.0.0.1	127.0.0.1	49909	2907
2	1790058511.637928000	127.0.0.1	127.0.0.1	2907	49909
3	1790058511.637946000	127.0.0.1	127.0.0.1	49909	2907
4	1790058511.637973000	127.0.0.1	127.0.0.1	2907	49909
5	1790058511.798243000	127.0.0.1	127.0.0.1	49909	2907
6	1790058511.798276000	127.0.0.1	127.0.0.1	2907	49909
7	1790058511.798416000	127.0.0.1	127.0.0.1	49909	2907
8	1790058511.798466000	127.0.0.1	127.0.0.1	2907	49909
9	1790058511.798492000	127.0.0.1	127.0.0.1	49909	2907
10	1790058511.803287000	127.0.0.1	127.0.0.1	49909	2907
11	1790058511.803329000	127.0.0.1	127.0.0.1	2907	49909
12	1790058511.903704000	127.0.0.1	127.0.0.1	49909	2907
13	1790058511.903809000	127.0.0.1	127.0.0.1	2907	49909
14	1790058511.919051000	127.0.0.1	127.0.0.1	49909	2907
15	1790058511.919183000	127.0.0.1	127.0.0.1	2907	49909
16	1790058511.919220000	127.0.0.1	127.0.0.1	2907	49909
17	1790058511.919234000	127.0.0.1	127.0.0.1	49909	2907
18	1790058511.920702000	127.0.0.1	127.0.0.1	49909	2907
19	1790058511.922389000	127.0.0.1	127.0.0.1	49909	2907
20	1790058511.922409000	127.0.0.1	127.0.0.1	2907	49909
21	1790058511.971837000	127.0.0.1	127.0.0.1	49909	2907
22	1790058511.971871000	127.0.0.1	127.0.0.1	49909	2907
23	1790058511.971896000	127.0.0.1	127.0.0.1	2907	49909
24	1790058511.973531000	127.0.0.1	127.0.0.1	49909	2907
25	1790058512.023246000	127.0.0.1	127.0.0.1	49909	2907
26	1790058512.023286000	127.0.0.1	127.0.0.1	2907	49909
27	1790058512.023344000	127.0.0.1	127.0.0.1	2907	49909
28	1790058512.031732000	127.0.0.1	127.0.0.1	49909	2907
29	1790058512.031915000	127.0.0.1	127.0.0.1	49909	2907
30	1790058512.031936000	127.0.0.1	127.0.0.1	2907	49909
31	1790058512.031966000	127.0.0.1	127.0.0.1	2907	49909
32	1790058512.032056000	127.0.0.1	127.0.0.1	2907	49909
33	1790058512.032071000	127.0.0.1	127.0.0.1	49909	2907
34	1790058512.032355000	127.0.0.1	127.0.0.1	49909	2907
35	1790058512.148778000	127.0.0.1	127.0.0.1	49909	2907
36	1790058512.148807000	127.0.0.1	127.0.0.1	2907	49909
37	1790058512.148873000	127.0.0.1	127.0.0.1	2907	49909
38	1790058512.148902000	127.0.0.1	127.0.0.1	49909	2907
39	1790058512.148911000	127.0.0.1	127.0.0.1	2907	49909
